gisid	bbox
234-124	753148,2964671,753504,2964953
35-44	768208,2960818,768480,2961067
85-3	764869,2960929,765172,2961214
125-13	761370,2957604,761630,2957918
192-50	755887,2969149,756176,2969447
252-160	751165,2961819,751813,2962567
96-146	762056,2955131,762331,2955404
78-35	765741,2959482,765994,2959749
100-19	760610,2955449,760912,2955745
122-9	760548,2958174,760845,2958442
105-56	762408,2958275,762702,2958564
99-77	760763,2955384,761140,2955749
233-200	753802,2964815,754096,2965073
262-50	754333,2965706,754637,2965992
267F-293	751156,2967036,751695,2967469
98-35	761353,2955052,761636,2955348
90-177	763775,2958306,764052,2958605
69-103	764391,2957177,764669,2957462
215-16	756745,2963723,757049,2964027
188-74	754473,2970763,754776,2971004
226-67	755650,2964149,756188,2964604
65-10	761858,2954638,762225,2954993
130-49	760157,2958352,760440,2958595
233-181	753890,2964548,754207,2964816
133-3	759603,2960521,760117,2960910
92-120	763542,2957374,763850,2957695
77-5	765232,2959714,765539,2959973
262-79	754370,2965485,754669,2965765
34-17	767766,2960471,767998,2960722
233-44	754171,2964660,754456,2964935
114A-77	763637,2960771,763939,2961046
101-87	761198,2956823,761503,2957134
24-91	769197,2959978,769455,2960286
154-126	759235,2965240,759484,2965513
193-167	755071,2969273,755301,2969530
77-13	765174,2959457,765415,2959723
30-38	767549,2958125,768010,2958556
108-34	763579,2959706,763897,2960050
271-75	755180,2967160,755430,2967435
86-39	764803,2959649,765078,2959929
101-196	760955,2956401,761228,2956677
219-46	756953,2961800,757260,2962108
90-141	763690,2958692,763971,2958952
110-2	763667,2960531,763969,2960817
154-78	759280,2965236,759550,2965510
181-198	757575,2968101,757841,2968375
251-241	751961,2962062,752257,2962352
192-73	756271,2969309,756580,2969615
130-16	760226,2958109,760509,2958405
84-22	764832,2961117,765085,2961378
254-70	750176,2962381,750525,2962632
104-96	762106,2957448,762364,2957709
167-28	757375,2961591,757723,2961910
70-10	764661,2957439,764920,2957742
204-128	756465,2966254,756741,2966551
127-129	761130,2956940,761398,2957209
118-58	762901,2959305,763195,2959570
220-66	756218,2962231,756474,2962493
175-66	758472,2965122,758779,2965413
108-58	763089,2959755,763373,2960030
101-108	761175,2956718,761476,2957026
176-72	758434,2965316,758742,2965644
183-82	756507,2969574,756799,2969877
191-82	755615,2969387,755847,2969671
230-123	754863,2964860,755142,2965124
75-71	764718,2958151,764987,2958449
114A-104	763424,2961071,763730,2961359
255-12	749861,2962051,750145,2962383
109-51	763739,2959837,764056,2960163
183-80	756559,2969619,756851,2969919
127-135	760789,2956828,761066,2957102
182-94	757448,2968340,757739,2968632
225-7	756480,2963710,756811,2964045
175-14	758059,2964898,758370,2965193
267.1-267	750004,2971065,750583,2971462
253-89	750832,2962476,751130,2962744
78-28	765749,2959545,766005,2959813
234-48	753101,2964068,753459,2964353
206-65	756491,2965607,756754,2965867
79-28	765269,2960086,765574,2960357
123-9	761588,2958258,761898,2958555
242A-107	753645,2961161,753935,2961496
149-133	760326,2963901,760580,2964170
105-10	762227,2957579,762504,2957860
200-88	757894,2967454,758207,2967753
29-49	768362,2957636,768793,2958069
236-89	753641,2963682,753936,2963944
66-82	763228,2955119,763635,2955580
183-1	756338,2970335,756641,2970634
136-39	760333,2960724,760682,2961103
40-160	766068,2959091,766336,2959362
263-5	754065,2965247,754364,2965527
114A-103	763403,2961035,763711,2961326
95-17	762786,2956314,763068,2956587
100-26	760441,2955960,760737,2956249
246-9	753552,2961790,754193,2962387
37-59	766963,2960556,767206,2960816
146A-111	761927,2962957,762241,2963239
101-174	760864,2955851,761187,2956191
188-69	754472,2970964,754772,2971286
262-26	754926,2965597,755210,2965890
190-233	754308,2969845,754628,2970128
125-26	761673,2958002,761928,2958262
112-85	762821,2961267,763095,2961555
79-105	765393,2960384,765688,2960651
153-3	759251,2965945,759534,2966275
214-27	757819,2963524,758072,2963817
221-95	755383,2961930,755624,2962186
75-8	764635,2958159,764899,2958423
183-92	756553,2969885,756865,2970187
114A-73	763707,2960903,764005,2961175
104-142	761697,2957217,761969,2957489
124-35	761665,2958618,761956,2958906
155-4	759200,2964851,759464,2965167
240-53	754329,2961831,754643,2962133
221-21	755644,2962147,755911,2962427
27-97	768906,2958732,769290,2959161
101-130	760537,2956108,760824,2956399
154-29	759585,2965244,759852,2965582
33-5	767523,2960189,767778,2960423
140-83	762234,2962362,762486,2962656
236-107	753390,2963755,753800,2964056
43A-24	766202,2957804,767118,2958645
130-86	760240,2959059,760483,2959349
251-204	751949,2962419,752271,2962731
191-29	755439,2969576,755708,2969804
82-37	765073,2961395,765369,2961672
223-58	755538,2963152,755815,2963476
258-32	750271,2963297,750545,2963601
232-40	754438,2963797,754736,2964061
261-6	753113,2966089,753398,2966390
193-170	755071,2968562,755313,2968833
97-115	762090,2956090,762351,2956357
228-17	755644,2965456,755915,2965745
97-50	762086,2955903,762378,2956206
80-97	765964,2960312,766209,2960575
140-134	762046,2961650,762770,2962581
268A-47	754141,2968146,754685,2968804
166-17	757241,2961231,757535,2961531
153-80	758977,2965847,759325,2966138
84-68	764503,2961157,764741,2961435
174-72	758368,2964286,758577,2964495
239-69	754858,2962383,755261,2962681
258-47	750309,2963261,750579,2963551
261-157	754042,2965884,754351,2966187
